         167619 function calls (163127 primitive calls) in 13.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 fnmatch.py:38(_compile_pattern)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        6    0.000    0.000    0.000    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
       21    0.000    0.000    0.000    0.000 feedparser.py:101(push)
      314    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       44    0.000    0.000    0.000    0.000 core.py:145(get_object_signature)
       65    0.000    0.000    0.000    0.000 enum.py:836(__and__)
      116    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
